// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/01/04 20:38:12
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=

PreHeat=1000
Interval=200
SampleCnt=261

StartTime=1980/01/04 20:38:12
EndTime=1980/01/04 20:39:05

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=-0.009
StartDepthA=0.327058873416032
StartDepthB=0.326043606129104

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [µmol/(m2*s)],Mark,
4/01/1980 8:38:12 PM,0.336,23.385,0.525,1.027,1065.0,997.848,0.000,2.622,2.622,6.949,8.377,38.140,103.606,8.777,1008.033,0,
4/01/1980 8:38:12 PM,0.355,23.382,0.525,1.027,1065.4,997.849,0.000,2.771,2.771,9.706,8.377,38.216,103.601,8.777,893.642,0,
4/01/1980 8:38:12 PM,0.417,23.368,0.525,1.027,1065.4,997.852,0.000,2.667,2.667,7.852,8.378,38.407,103.700,8.787,805.995,0,
4/01/1980 8:38:12 PM,0.459,23.366,0.525,1.027,1065.0,997.853,0.000,2.734,2.734,7.927,8.378,38.521,103.610,8.779,802.429,0,
4/01/1980 8:38:13 PM,0.499,23.355,0.525,1.026,1065.0,997.856,0.000,2.974,2.974,7.319,8.378,38.559,103.629,8.782,767.239,0,
4/01/1980 8:38:13 PM,0.529,23.342,0.525,1.027,1065.4,997.859,0.000,3.078,3.078,7.334,8.378,38.559,103.576,8.781,768.834,0,
4/01/1980 8:38:13 PM,0.541,23.333,0.525,1.027,1065.6,997.861,0.000,3.153,3.153,6.993,8.378,38.559,103.573,8.782,785.632,0,
4/01/1980 8:38:13 PM,0.556,23.326,0.525,1.027,1065.9,997.863,0.000,3.266,3.266,7.808,8.378,38.635,103.715,8.795,765.362,0,
4/01/1980 8:38:13 PM,0.588,23.324,0.525,1.026,1065.8,997.864,0.000,3.251,3.251,7.689,8.378,38.826,103.699,8.795,596.919,0,
4/01/1980 8:38:14 PM,0.615,23.319,0.525,1.027,1066.0,997.865,0.000,3.408,3.408,7.423,8.378,38.979,103.689,8.795,643.370,0,
4/01/1980 8:38:14 PM,0.646,23.312,0.525,1.026,1066.1,997.867,0.000,3.348,3.348,7.497,8.376,39.208,103.718,8.799,569.611,0,
4/01/1980 8:38:14 PM,0.692,23.301,0.525,1.026,1065.9,997.870,0.000,3.685,3.685,8.075,8.373,39.475,103.699,8.798,572.051,0,
4/01/1980 8:38:14 PM,0.718,23.294,0.525,1.026,1066.0,997.872,0.000,3.618,3.618,8.475,8.368,39.742,103.763,8.804,586.315,0,
4/01/1980 8:38:14 PM,0.732,23.292,0.525,1.026,1066.2,997.872,0.000,3.745,3.745,8.431,8.362,40.085,103.748,8.803,501.201,0,
4/01/1980 8:38:15 PM,0.749,23.293,0.525,1.026,1066.3,997.872,0.000,3.985,3.985,8.371,8.357,40.314,103.805,8.808,511.524,0,
4/01/1980 8:38:15 PM,0.778,23.293,0.525,1.026,1066.4,997.872,0.000,4.082,4.082,8.164,8.353,40.581,103.833,8.810,482.809,0,
4/01/1980 8:38:15 PM,0.835,23.290,0.525,1.026,1066.2,997.873,0.000,3.925,3.925,8.179,8.347,40.771,103.893,8.816,566.796,0,
4/01/1980 8:38:15 PM,0.915,23.281,0.525,1.026,1066.4,997.876,0.000,4.105,4.105,9.083,8.341,40.924,103.929,8.821,408.206,0,
4/01/1980 8:38:15 PM,0.961,23.266,0.526,1.026,1066.6,997.880,0.000,3.977,3.977,9.424,8.332,40.886,103.975,8.826,390.376,0,
