// AAQ-RINKO Series AAQ-PRO2 Communication Software
// Version 1.06
// File Date:1980/01/04 21:20:24
// Copyright (C) JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
MeasMode=0
Model=PRO2

[Head]
SondeName=AAQ177-CAD
SondeNo=0136
SensorType=D0D1T1C1C2K0U3O0TOP0TPP1Q0
SensorType2=03030303030303030303030303
Channel=13
Comment=

PreHeat=1000
Interval=200
SampleCnt=409

StartTime=1980/01/04 21:20:24
EndTime=1980/01/04 21:21:46

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=1
PC_SWC=0
PC_SWD=0

DepthZero=0.032
StartDepthA=0.0833188965125469
StartDepthB=0.0806216916501427

FilmNo=144601B
UseMicroMol=0

CoefDate=2015/10/07

Ch1=-5.81083600e-02,1.869638000e-05,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.69772200e00,1.069701000e-03,-1.26507900e-08,2.919105000e-13,-3.52728500e-18,2.531630000e-23,0.000000000e00,0.000000000e00,
Ch4=2.423661000e-02,3.814907000e01,8.033290000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.03341200e00,7.490196000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.43223700e00,1.467499000e-02,6.216078000e-08,1.130527000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.24825000e01,2.260056000e06,-6.04631800e03,1.001100000e-02,4.400000000e-03,5.380000000e-05,-1.05100000e00,1.045489730e00,
Ch9=-5.53150100e00,1.071128000e-03,-1.28910100e-08,3.048651000e-13,-3.82419300e-18,2.768645000e-23,0.000000000e00,0.000000000e00,
Ch10=6.626887710e00,2.808857570e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch11=-5.11247900e00,1.744157000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch12=1250.0000000000,-0.038140000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch13=-8.91483700e01,9.384038000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Mark,
4/01/1980 9:20:24 PM,0.088,23.229,0.530,1.033,1075.4,997.888,0.000,2.322,2.322,6.800,8.951,-60.834,103.369,8.781,170.789,0,
4/01/1980 9:20:24 PM,0.092,23.229,0.530,1.033,1075.3,997.888,0.000,2.277,2.277,7.304,8.951,-60.605,103.420,8.788,233.099,0,
4/01/1980 9:20:24 PM,0.096,23.231,0.530,1.033,1075.3,997.888,0.000,2.247,2.247,7.927,8.951,-60.414,103.385,8.785,630.795,0,
4/01/1980 9:20:24 PM,0.100,23.233,0.530,1.033,1075.0,997.887,0.000,2.247,2.247,7.793,8.951,-60.109,103.465,8.791,1101.968,0,
4/01/1980 9:20:24 PM,0.100,23.232,0.530,1.033,1074.9,997.887,0.000,2.105,2.105,7.763,8.951,-59.766,103.492,8.795,1391.841,0,
4/01/1980 9:20:25 PM,0.098,23.229,0.530,1.033,1075.2,997.888,0.000,2.352,2.352,9.484,8.951,-59.422,103.477,8.794,1425.154,0,
4/01/1980 9:20:25 PM,0.096,23.223,0.530,1.033,1075.3,997.889,0.000,2.652,2.652,8.416,8.951,-59.194,103.429,8.789,1302.692,0,
4/01/1980 9:20:25 PM,0.102,23.221,0.530,1.033,1075.2,997.890,0.000,2.434,2.434,11.992,8.951,-59.117,103.409,8.788,1126.272,0,
4/01/1980 9:20:25 PM,0.109,23.221,0.530,1.033,1075.3,997.890,0.000,2.457,2.457,9.587,8.951,-58.889,103.439,8.789,982.603,0,
4/01/1980 9:20:25 PM,0.111,23.222,0.530,1.033,1075.4,997.890,0.000,2.135,2.135,7.408,8.951,-58.545,103.323,8.780,783.004,0,
4/01/1980 9:20:26 PM,0.117,23.221,0.530,1.033,1075.1,997.890,0.000,2.217,2.217,9.172,8.950,-58.278,103.535,8.798,694.888,0,
4/01/1980 9:20:26 PM,0.130,23.224,0.530,1.034,1075.6,997.890,0.000,2.801,2.801,8.179,8.950,-58.278,103.495,8.794,537.518,0,
4/01/1980 9:20:26 PM,0.163,23.208,0.530,1.033,1075.6,997.894,0.000,2.659,2.659,8.001,8.951,-58.049,103.442,8.792,243.516,0,
4/01/1980 9:20:26 PM,0.182,23.207,0.530,1.033,1075.5,997.894,0.000,2.539,2.539,14.416,8.951,-57.744,103.406,8.789,171.446,0,
4/01/1980 9:20:26 PM,0.205,23.209,0.530,1.033,1075.5,997.893,0.000,2.434,2.434,10.211,8.951,-57.439,103.430,8.791,156.150,0,
4/01/1980 9:20:27 PM,0.230,23.184,0.530,1.033,1075.6,997.900,0.000,2.944,2.944,9.854,8.951,-57.210,103.461,8.796,1068.560,0,
4/01/1980 9:20:27 PM,0.266,23.169,0.530,1.032,1075.5,997.903,0.000,3.071,3.071,9.899,8.950,-56.829,103.416,8.794,1146.260,0,
4/01/1980 9:20:27 PM,0.308,23.161,0.530,1.032,1075.5,997.905,0.000,2.592,2.592,8.964,8.950,-56.448,103.391,8.794,1029.335,0,
